,date,jour,service,moyen_7_services,moyen_31_services,moyenne_3der_j&service,match_edf,roland_garros,fashion_week,match_happening,match_happening_cl,temp,feels_like,temp_min,temp_max,wind_speed,clouds_all,vacances_paris,clear,clouds,drizzle,drizzle_and_rain,fog,mist,rain,thunderstorm,cos_jour_de_sem,sin_jour_de_sem,cos_jour_du_mois,sin_jour_du_mois,cos_mois_de_annee,sin_mois_de_annee,cos_jour_annee,sin_jour_annee,cos_semaine_annee,sin_semaine_annee,y_true,y_pred
260,2019-05-13,Lundi,midi,4135.571428571428,4209.393225806452,2776.33,0.0,0.0,0.0,0.0,0.0,289.28,288.07,288.37,290.47,2.68,0.0,0.0,sky is clear,0,0,0,0,0,0,0,0.6234898018587336,0.7818314824680297,-0.8743466161445821,0.485301962531081,-0.8660254037844387,0.4999999999999999,-0.6584015846980487,0.7526668275320085,-0.7485107481711012,0.6631226582407952,2287.5,3079.7144932956003
261,2019-05-14,Mardi,midi,3729.285714285714,4153.520967741935,3491.17,0.0,0.0,0.0,0.0,0.0,290.45,289.15,289.49,291.81,0.89,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.2225209339563143,0.9749279121818236,-0.9541392564000488,0.299363122973358,-0.8660254037844387,0.4999999999999999,-0.6712599575675313,0.741222010848596,-0.7485107481711012,0.6631226582407952,3276.8,3058.5575145868625
262,2019-05-14,Mardi,soir,7366.714285714285,10078.362903225809,11735.83,0.0,0.0,0.0,0.0,0.0,289.95,288.6,288.4,290.98,1.79,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.2225209339563143,0.9749279121818236,-0.9541392564000488,0.299363122973358,-0.8660254037844387,0.4999999999999999,-0.6712599575675313,0.741222010848596,-0.7485107481711012,0.6631226582407952,9981.0,5224.092894808786
263,2019-05-15,Mercredi,soir,7730.728571428572,9962.532258064515,10211.9,0.0,0.0,0.0,0.0,0.0,290.43,289.21,289.38,291.47,3.6,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.900968867902419,0.4338837391175582,-0.994869323391895,0.1011683219874327,-0.8660254037844387,0.4999999999999999,-0.6839194216246105,0.7295575540864876,-0.7485107481711012,0.6631226582407952,10823.5,5028.157740441489
264,2019-05-15,Mercredi,midi,3427.1857142857143,4090.8370967741935,4606.93,0.0,0.0,0.0,0.0,0.0,290.16,288.88,289.38,291.58,0.45,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.900968867902419,0.4338837391175582,-0.994869323391895,0.1011683219874327,-0.8660254037844387,0.4999999999999999,-0.6839194216246105,0.7295575540864876,-0.7485107481711012,0.6631226582407952,3169.3,3376.5426698467836
265,2019-05-16,Jeudi,midi,3611.7285714285713,4064.161290322581,3593.33,0.0,0.0,0.0,0.0,0.0,290.23,288.99,289.07,291.39,2.24,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.9009688679024191,-0.433883739117558,-0.9948693233918952,-0.101168321987432,-0.8660254037844387,0.4999999999999999,-0.6963762255968722,0.717676913675962,-0.7485107481711012,0.6631226582407952,3554.6,3510.9286148230813
266,2019-05-16,Jeudi,soir,7635.657142857142,9931.67741935484,11019.33,0.0,0.0,0.0,0.0,0.0,289.29,288.16,288.37,290.02,0.45,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.9009688679024191,-0.433883739117558,-0.9948693233918952,-0.101168321987432,-0.8660254037844387,0.4999999999999999,-0.6963762255968722,0.717676913675962,-0.7485107481711012,0.6631226582407952,9737.1,6353.975113857675
267,2019-05-17,Vendredi,soir,7868.357142857143,9933.664516129033,8751.83,0.0,0.0,0.0,0.0,0.0,290.78,290.01,289.4,291.36,3.09,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.2225209339563146,-0.9749279121818236,-0.9541392564000488,-0.2993631229733582,-0.8660254037844387,0.4999999999999999,-0.7086266782644596,0.705583610107178,-0.7485107481711012,0.6631226582407952,14014.5,6181.737213378662
268,2019-05-17,Vendredi,midi,3557.3142857142857,3963.358064516129,4283.83,0.0,0.0,0.0,0.0,0.0,291.14,290.38,290.4,292.37,2.06,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.2225209339563146,-0.9749279121818236,-0.9541392564000488,-0.2993631229733582,-0.8660254037844387,0.4999999999999999,-0.7086266782644596,0.705583610107178,-0.7485107481711012,0.6631226582407952,4400.8,3311.878184871615
269,2019-05-18,Samedi,midi,3379.0714285714284,3905.238709677419,4690.47,0.0,0.0,0.0,0.0,0.0,290.3,289.74,288.53,292.09,2.06,75.0,0.0,0,0,0,0,0,0,light rain,0,0.6234898018587334,-0.7818314824680299,-0.8743466161445822,-0.4853019625310809,-0.8660254037844387,0.4999999999999999,-0.720667149553861,0.6932812268869777,-0.7485107481711012,0.6631226582407952,6277.0,4814.625769190812
270,2019-05-18,Samedi,soir,8423.5,10093.067741935483,12428.83,0.0,0.0,0.0,0.0,0.0,290.15,289.6,286.86,291.58,3.09,75.0,0.0,0,0,0,0,0,0,light rain,0,0.6234898018587334,-0.7818314824680299,-0.8743466161445822,-0.4853019625310809,-0.8660254037844387,0.4999999999999999,-0.720667149553861,0.6932812268869777,-0.7485107481711012,0.6631226582407952,13825.5,8637.491345546494
271,2019-05-19,Dimanche,soir,10278.714285714286,10175.906451612904,7642.0,0.0,0.0,0.0,0.0,0.0,288.14,288.02,287.16,289.45,0.45,75.0,0.0,0,0,0,0,0,mist,0,0,1.0,-2.4492935982947064e-16,-0.7587581226927911,-0.651372482722222,-0.8660254037844387,0.4999999999999999,-0.7324940716135789,0.6807734094770161,-0.7485107481711012,0.6631226582407952,8641.5,7660.826373040175
272,2019-05-19,Dimanche,midi,3827.0,3984.706451612903,4975.5,0.0,0.0,0.0,0.0,0.0,289.57,289.33,287.79,291.91,2.24,75.0,0.0,0,0,0,0,0,0,light rain,0,1.0,-2.4492935982947064e-16,-0.7587581226927911,-0.651372482722222,-0.8660254037844387,0.4999999999999999,-0.7324940716135789,0.6807734094770161,-0.7485107481711012,0.6631226582407952,4472.0,4668.5220806565185
273,2019-05-20,Lundi,soir,10539.07142857143,10118.051612903226,7490.93,0.0,1.0,0.0,0.0,0.0,291.25,290.68,289.58,292.03,2.68,0.0,0.0,sky is clear,0,0,0,0,0,0,0,0.6234898018587336,0.7818314824680297,-0.6121059825476628,-0.7907757369376986,-0.8660254037844387,0.4999999999999999,-0.7441039398713607,0.6680638642135335,-0.8229838658936564,0.5680647467311558,8115.0,8274.802302111013
274,2019-05-20,Lundi,midi,3919.714285714286,4006.238709677419,2487.17,0.0,1.0,0.0,0.0,0.0,290.62,290.17,289.29,291.58,0.89,75.0,0.0,0,broken clouds,0,0,0,0,0,0,0.6234898018587336,0.7818314824680297,-0.6121059825476628,-0.7907757369376986,-0.8660254037844387,0.4999999999999999,-0.7441039398713607,0.6680638642135335,-0.8229838658936564,0.5680647467311558,2534.0,2870.384305828721
275,2019-05-21,Mardi,soir,10734.014285714286,10010.503225806451,11681.17,0.0,1.0,0.0,0.0,0.0,291.66,291.11,290.28,292.87,2.1,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.2225209339563143,0.9749279121818236,-0.4403941515576342,-0.8978045395707417,-0.8660254037844387,0.4999999999999999,-0.7554933140726803,0.6551563572090853,-0.8229838658936564,0.5680647467311558,12044.0,9194.998220791389
276,2019-05-21,Mardi,midi,3954.928571428572,3965.196774193548,3563.77,0.0,1.0,0.0,0.0,0.0,292.32,291.81,291.39,295.25,2.68,40.0,0.0,0,0,0,0,0,0,light rain,0,-0.2225209339563143,0.9749279121818236,-0.4403941515576342,-0.8978045395707417,-0.8660254037844387,0.4999999999999999,-0.7554933140726803,0.6551563572090853,-0.8229838658936564,0.5680647467311558,3902.0,2983.811195293778
277,2019-05-22,Mercredi,soir,11028.728571428572,10004.841935483872,9673.07,0.0,1.0,0.0,0.0,0.0,292.76,292.0,291.05,294.25,2.6,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.900968867902419,0.4338837391175582,-0.2506525322587213,-0.968077118866204,-0.8660254037844387,0.4999999999999999,-0.766658819300159,0.6420547132365637,-0.8229838658936564,0.5680647467311558,9937.0,9929.366493943706
278,2019-05-22,Mercredi,midi,4044.242857142857,3950.7483870967744,4423.77,0.0,1.0,0.0,0.0,0.0,293.36,292.59,292.25,294.09,2.1,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.900968867902419,0.4338837391175582,-0.2506525322587213,-0.968077118866204,-0.8660254037844387,0.4999999999999999,-0.766658819300159,0.6420547132365637,-0.8229838658936564,0.5680647467311558,4105.9,3366.3750791746397
279,2019-05-23,Jeudi,soir,10902.085714285717,9926.92258064516,10391.87,0.0,1.0,0.0,0.0,0.0,294.5,293.76,293.37,295.45,1.5,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.9009688679024191,-0.433883739117558,-0.0506491688387135,-0.9987165071710528,-0.8660254037844387,0.4999999999999999,-0.777597146973627,0.6287628145958344,-0.8229838658936564,0.5680647467311558,13748.5,10658.869773117427
280,2019-05-23,Jeudi,midi,4178.042857142857,3945.535483870968,3722.7,0.0,1.0,0.0,0.0,0.0,295.48,294.79,294.2,296.91,0.45,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.9009688679024191,-0.433883739117558,-0.0506491688387135,-0.9987165071710528,-0.8660254037844387,0.4999999999999999,-0.777597146973627,0.6287628145958344,-0.8229838658936564,0.5680647467311558,2107.9,3274.7016941273496
281,2019-05-24,Vendredi,midi,3971.3714285714286,3924.493548387097,4328.27,0.0,1.0,0.0,0.0,0.0,294.71,294.25,293.6,296.03,0.45,40.0,0.0,0,scattered clouds,0,0,0,0,0,0,-0.2225209339563146,-0.9749279121818236,0.1514277775045766,-0.9884683243281114,-0.8660254037844387,0.4999999999999999,-0.7883050558305255,0.6152845999633276,-0.8229838658936564,0.5680647467311558,4288.3,3712.724381608567
282,2019-05-24,Vendredi,soir,11475.142857142857,10084.793548387095,8917.67,0.0,1.0,0.0,0.0,0.0,294.21,293.68,291.38,295.4,1.79,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.2225209339563146,-0.9749279121818236,0.1514277775045766,-0.9884683243281114,-0.8660254037844387,0.4999999999999999,-0.7883050558305255,0.6152845999633276,-0.8229838658936564,0.5680647467311558,12978.0,11673.397368914415
283,2019-05-25,Samedi,midi,3955.3,3954.874193548387,5862.73,0.0,1.0,0.0,0.0,0.0,292.95,292.47,290.25,295.98,1.34,75.0,0.0,0,0,0,0,0,0,light rain,0,0.6234898018587334,-0.7818314824680299,0.3473052528448203,-0.9377521321470804,-0.8660254037844387,0.4999999999999999,-0.7987793728863649,0.6016240632249226,-0.8229838658936564,0.5680647467311558,5453.8,4245.392443797413
284,2019-05-25,Samedi,soir,11327.07142857143,10301.132258064516,12919.83,0.0,1.0,0.0,0.0,0.0,292.33,291.9,289.64,294.29,2.6,40.0,0.0,0,0,0,0,0,0,light rain,0,0.6234898018587334,-0.7818314824680299,0.3473052528448203,-0.9377521321470804,-0.8660254037844387,0.4999999999999999,-0.7987793728863649,0.6016240632249226,-0.8229838658936564,0.5680647467311558,14255.0,11625.346775418431
285,2019-05-26,Dimanche,soir,11388.42857142857,10433.712903225807,7479.67,0.0,1.0,0.0,0.0,0.0,290.24,289.91,289.69,290.8,0.89,90.0,0.0,0,overcast clouds,0,0,0,0,0,0,1.0,-2.4492935982947064e-16,0.5289640103269624,-0.848644257494751,-0.8660254037844387,0.4999999999999999,-0.8090169943749473,0.5877852522924732,-0.8229838658936564,0.5680647467311558,13267.0,7749.894204580201
286,2019-05-26,Dimanche,midi,3837.7,4029.029032258065,4562.17,0.0,1.0,0.0,0.0,0.0,290.77,290.39,288.81,293.4,2.24,75.0,0.0,0,broken clouds,0,0,0,0,0,0,1.0,-2.4492935982947064e-16,0.5289640103269624,-0.848644257494751,-0.8660254037844387,0.4999999999999999,-0.8090169943749473,0.5877852522924732,-0.8229838658936564,0.5680647467311558,5578.6,4230.389946520401
287,2019-05-27,Lundi,soir,12049.214285714286,10460.390322580644,7432.77,0.0,1.0,0.0,0.0,0.0,291.43,290.54,289.4,292.58,2.68,0.0,0.0,sky is clear,0,0,0,0,0,0,0,0.6234898018587336,0.7818314824680297,0.6889669190756864,-0.72479278722912,-0.8660254037844387,0.4999999999999999,-0.81901488666808,0.5737722679043246,-0.8854560256532096,0.464723172043769,10913.9,9014.06321836885
288,2019-05-27,Lundi,midi,3995.785714285714,4110.306451612903,2233.0,0.0,1.0,0.0,0.0,0.0,292.13,291.49,291.13,293.76,1.34,75.0,0.0,0,broken clouds,0,0,0,0,0,0,0.6234898018587336,0.7818314824680297,0.6889669190756864,-0.72479278722912,-0.8660254037844387,0.4999999999999999,-0.81901488666808,0.5737722679043246,-0.8854560256532096,0.464723172043769,3191.0,2727.6330609108154
289,2019-05-28,Mardi,midi,4089.642857142857,4093.2806451612905,3704.77,0.0,1.0,0.0,0.0,0.0,287.9,287.15,284.49,290.38,1.79,75.0,0.0,0,0,0,0,0,0,light intensity shower rain,0,-0.2225209339563143,0.9749279121818236,0.8207634412072763,-0.5712682150947924,-0.8660254037844387,0.4999999999999999,-0.8287700871745038,0.5595892624101765,-0.8854560256532096,0.464723172043769,4107.0,3371.04599371537
290,2019-05-28,Mardi,soir,12449.057142857142,10437.629032258064,11171.33,0.0,1.0,0.0,0.0,0.0,289.39,288.4,286.6,290.96,1.34,40.0,0.0,0,scattered clouds,0,0,0,0,0,0,-0.2225209339563143,0.9749279121818236,0.8207634412072763,-0.5712682150947924,-0.8660254037844387,0.4999999999999999,-0.8287700871745038,0.5595892624101765,-0.8854560256532096,0.464723172043769,9942.0,9429.706588400953
291,2019-05-29,Mercredi,midi,4118.928571428572,4123.61935483871,4307.9,0.0,1.0,0.0,0.0,0.0,292.07,291.3,290.78,293.87,0.45,75.0,0.0,0,broken clouds,0,0,0,0,0,0,-0.900968867902419,0.4338837391175582,0.9189578116202306,-0.3943558551133187,-0.8660254037844387,0.4999999999999999,-0.8382797052177744,0.545240438540651,-0.8854560256532096,0.464723172043769,3646.8,3438.0043150051897
292,2019-05-29,Mercredi,soir,12148.771428571428,10322.306451612903,9622.9,0.0,1.0,0.0,0.0,0.0,290.97,290.09,289.48,291.67,0.89,0.0,0.0,sky is clear,0,0,0,0,0,0,0,-0.900968867902419,0.4338837391175582,0.9189578116202306,-0.3943558551133187,-0.8660254037844387,0.4999999999999999,-0.8382797052177744,0.545240438540651,-0.8854560256532096,0.464723172043769,10559.0,10065.282137057286
293,2019-05-30,Jeudi,midi,4053.342857142857,4103.354838709677,2934.67,0.0,1.0,0.0,0.0,0.0,292.28,292.08,290.84,293.34,2.1,90.0,1.0,0,overcast clouds,0,0,0,0,0,0,-0.9009688679024191,-0.433883739117558,0.9795299412524944,-0.2012985200886611,-0.8660254037844387,0.4999999999999999,-0.8475409228928311,0.5307300481619334,-0.8854560256532096,0.464723172043769,4676.3,3480.8452701927295
294,2019-05-30,Jeudi,soir,12237.628571428571,10235.951612903224,11204.7,0.0,1.0,0.0,0.0,0.0,292.65,292.48,291.39,293.81,0.45,90.0,1.0,0,overcast clouds,0,0,0,0,0,0,-0.9009688679024191,-0.433883739117558,0.9795299412524944,-0.2012985200886611,-0.8660254037844387,0.4999999999999999,-0.8475409228928311,0.5307300481619334,-0.8854560256532096,0.464723172043769,11701.0,10315.778229693131
295,2019-05-31,Vendredi,midi,4420.257142857143,4054.858064516129,4332.7,0.0,1.0,0.0,0.0,0.0,295.36,295.05,294.18,296.91,1.5,75.0,1.0,0,broken clouds,0,0,0,0,0,0,-0.2225209339563146,-0.9749279121818236,1.0,-2.4492935982947064e-16,-0.8660254037844387,0.4999999999999999,-0.8565509959010036,0.5160623910158528,-0.8854560256532096,0.464723172043769,4442.5,3761.100408827854
296,2019-05-31,Vendredi,soir,11945.128571428571,10318.935483870968,9277.17,0.0,1.0,0.0,0.0,0.0,297.52,297.29,296.12,298.91,1.0,0.0,1.0,sky is clear,0,0,0,0,0,0,0,-0.2225209339563146,-0.9749279121818236,1.0,-2.4492935982947064e-16,-0.8660254037844387,0.4999999999999999,-0.8565509959010036,0.5160623910158528,-0.8854560256532096,0.464723172043769,11883.0,11009.709021988032
297,2019-06-01,Samedi,midi,4442.285714285715,4013.9064516129033,5620.77,0.0,1.0,0.0,0.0,0.0,299.67,299.67,298.3,300.8,3.1,0.0,1.0,sky is clear,0,0,0,0,0,0,0,0.6234898018587334,-0.7818314824680299,0.9795299412524944,0.20129852008866,-1.0,1.2246467991473532e-16,-0.865307254363206,0.5012418134457758,-0.8854560256532096,0.464723172043769,2860.6,4394.8584752419065
298,2019-06-01,Samedi,soir,11788.7,10434.854838709678,13259.5,0.0,1.0,0.0,0.0,0.0,300.78,300.63,299.45,302.07,2.1,0.0,1.0,sky is clear,0,0,0,0,0,0,0,0.6234898018587334,-0.7818314824680299,0.9795299412524944,0.20129852008866,-1.0,1.2246467991473532e-16,-0.865307254363206,0.5012418134457758,-0.8854560256532096,0.464723172043769,11431.0,11329.545994012495
299,2019-06-02,Dimanche,midi,4071.828571428572,3999.845161290322,4624.53,0.0,1.0,0.0,0.0,0.0,303.97,303.32,302.81,305.4,0.45,0.0,1.0,sky is clear,0,0,0,0,0,0,0,1.0,-2.4492935982947064e-16,0.9189578116202306,0.3943558551133185,-1.0,1.2246467991473532e-16,-0.8738071036110808,0.4862727071086899,-0.8854560256532096,0.464723172043769,2076.35,2791.6202746490785
300,2019-06-02,Dimanche,soir,11385.271428571428,10365.741935483871,9575.83,1.0,1.0,0.0,0.0,0.0,302.0,301.36,299.94,303.7,0.45,0.0,1.0,sky is clear,0,0,0,0,0,0,0,1.0,-2.4492935982947064e-16,0.9189578116202306,0.3943558551133185,-1.0,1.2246467991473532e-16,-0.8738071036110808,0.4862727071086899,-0.8854560256532096,0.464723172043769,8301.0,8550.833593394915
301,2019-06-03,Lundi,soir,10675.842857142858,10308.112903225809,8593.1,0.0,1.0,0.0,0.0,0.0,294.19,293.92,292.81,295.25,2.1,20.0,0.0,0,few clouds,0,0,0,0,0,0,0.6234898018587336,0.7818314824680297,0.8207634412072763,0.5712682150947923,-1.0,1.2246467991473532e-16,-0.8820480249558537,0.4711595076738638,-0.9350162426854148,0.3546048870425358,9645.0,7815.78092103111
302,2019-06-03,Lundi,midi,3571.5071428571428,3954.5983870967743,2670.83,0.0,1.0,0.0,0.0,0.0,292.05,291.98,288.62,293.4,2.6,75.0,0.0,0,0,0,0,0,0,light rain,0,0.6234898018587336,0.7818314824680297,0.8207634412072763,0.5712682150947923,-1.0,1.2246467991473532e-16,-0.8820480249558537,0.4711595076738638,-0.9350162426854148,0.3546048870425358,3815.3,2679.230779653592
