ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent;Température (°C);Température minimale sur 12 heures (°C);Température minimale sur 24 heures (°C);Température maximale sur 12 heures (°C);Température maximale sur 24 heures (°C);Température minimale du sol sur 12 heures (en °C);Altitude;Longitude;Latitude;communes (name);communes (code);EPCI (name);EPCI (code);department (name);department (code);region (name);region (code);mois_de_l_annee
07149;2019-01-06T10:00:00+01:00;103780;110.0;2;280;1.8;277.15;274.05;80;12000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100.0;8;800.0;35;;;102640.0;;;-60.0;;;;;;;;2.5;3.2;-10.0;0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;8.0;6;810.0;;;;;;;;;;48.716833,2.384333;ORLY;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;4.0;;;;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;1
07149;2019-10-05T11:00:00+02:00;101490;180.0;1;230;2.4;287.05;286.25;95;3000.0;51;Bruine;5;100.0;7;250.0;35;;;100420.0;;;470.0;;;;;;;;3.9;4.2;-10.0;1;0.0;0.0;-30.0;0.4;0.6;0.6;0.6;0.6;;;;;6.0;7;240.0;6.0;6;450.0;7.0;6;930.0;;;;48.716833,2.384333;ORLY;1;Bruine;51;13.900000000000034;;;;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10
07149;2019-10-13T20:00:00+02:00;101150;260.0;2;260;5.7;292.45;288.55;78;30000.0;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;3;2250.0;35;27;;100100.0;;;110.0;288.55;;298.95;;;;;9.3;9.4;-10.0;0;0.0;0.0;-60.0;0.0;1.8;1.8;2.0;2.0;;;;;3.0;6;2270.0;7.0;3;3200.0;;;;;;;48.716833,2.384333;ORLY;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1;19.30000000000001;15.400000000000034;;25.80000000000001;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10
07149;2019-10-01T11:00:00+02:00;100530;-70.0;6;210;5.8;291.25;289.05;87;18170.0;60;Pluie;2;100.0;7;450.0;38;;;99480.0;;;-1110.0;;;;;;;;10.1;12.6;-10.0;0;0.0;0.0;-30.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;7.0;6;390.0;1.0;8;600.0;;;;;;;48.716833,2.384333;ORLY;6;Pluie;60;18.100000000000023;;;;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10
07149;2019-10-11T11:00:00+02:00;101780;0.0;5;220;5.8;286.75;285.45;92;8000.0;50;Bruine;2;100.0;7;250.0;35;;;100700.0;;;-90.0;;;;;;;;9.2;9.9;-10.0;0;0.0;0.0;-30.0;-0.1;-0.1;-0.1;-0.1;-0.1;;;;;6.0;7;240.0;7.0;6;420.0;;;;;;;48.716833,2.384333;ORLY;5;Bruine;50;13.600000000000023;;;;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;10
07149;2020-09-07T02:00:00+02:00;102360;50.0;3;340;2.5;285.65;282.25;80;25000.0;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;0.0;0;;30;20;10;101270.0;;;70.0;;;;;;;;3.1;3.2;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;-0.1;-0.1;;;;;;;;;;;;;;;;;48.716833,2.384333;ORLY;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2;12.5;;;;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;9
07149;2020-09-07T08:00:00+02:00;102470;100.0;3;290;1.4;284.05;283.15;94;5420.0;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;10.0;0;9000.0;30;20;11;101370.0;;;290.0;283.05;;290.25;;;;;1.9;1.9;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;-0.1;;;;;1.0;0;9000.0;;;;;;;;;;48.716833,2.384333;ORLY;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;3;10.900000000000034;9.900000000000034;;17.100000000000023;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;9
07149;2020-09-08T11:00:00+02:00;102830;100.0;1;240;1.5;292.45;285.45;64;25000.0;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90.0;7;1250.0;35;;;101760.0;;;240.0;;;;;;;;2.9;3.2;-10.0;0;0.0;0.0;-30.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;6;1350.0;7.0;6;1620.0;;;;;;;48.716833,2.384333;ORLY;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;19.30000000000001;;;;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;9
07149;2020-09-11T14:00:00+02:00;101640;-70.0;8;350;2.7;299.45;287.55;48;22790.0;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;50.0;4;1250.0;38;20;10;100610.0;;;-420.0;;;;;;;;5.7;6.4;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;8;1350.0;2.0;6;1600.0;;;;;;;48.716833,2.384333;ORLY;8;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1;26.30000000000001;;;;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;9
07149;2020-09-13T02:00:00+02:00;102520;60.0;3;20;0.5;288.35;284.15;76;25000.0;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;40.0;0;9000.0;30;20;13;101440.0;;;680.0;;;;;;;;0.9;1.2;-10.0;0;0.0;0.0;-60.0;0.0;0.0;0.0;0.0;0.0;;;;;3.0;0;9000.0;;;;;;;;;;48.716833,2.384333;ORLY;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2;15.200000000000045;;;;;;89;2.384333;48.716833;Athis-Mons;91027;Métropole du Grand Paris;200054781;Essonne;91;Île-de-France;11;9
