,date,vacances_zone_a,vacances_zone_b,vacances_zone_c,nom_vacances,Year,Month,Day
137,1990-05-18,False,False,False,,1990,5,18
138,1990-05-19,False,False,False,,1990,5,19
139,1990-05-20,False,False,False,,1990,5,20
140,1990-05-21,False,False,False,,1990,5,21
141,1990-05-22,False,False,False,,1990,5,22
142,1990-05-23,False,False,False,,1990,5,23
143,1990-05-24,False,False,False,,1990,5,24
144,1990-05-25,False,False,False,,1990,5,25
145,1990-05-26,False,False,False,,1990,5,26
146,1990-05-27,False,False,False,,1990,5,27
147,1990-05-28,False,False,False,,1990,5,28
148,1990-05-29,False,False,False,,1990,5,29
149,1990-05-30,False,False,False,,1990,5,30
150,1990-05-31,False,False,False,,1990,5,31
151,1990-06-01,False,False,False,,1990,6,1
152,1990-06-02,False,False,False,,1990,6,2
153,1990-06-03,False,False,False,,1990,6,3
154,1990-06-04,False,False,False,,1990,6,4
155,1990-06-05,False,False,False,,1990,6,5
156,1990-06-06,False,False,False,,1990,6,6
157,1990-06-07,False,False,False,,1990,6,7
158,1990-06-08,False,False,False,,1990,6,8
159,1990-06-09,False,False,False,,1990,6,9
160,1990-06-10,False,False,False,,1990,6,10
161,1990-06-11,False,False,False,,1990,6,11
162,1990-06-12,False,False,False,,1990,6,12
163,1990-06-13,False,False,False,,1990,6,13
164,1990-06-14,False,False,False,,1990,6,14
165,1990-06-15,False,False,False,,1990,6,15
166,1990-06-16,False,False,False,,1990,6,16
167,1990-06-17,False,False,False,,1990,6,17
168,1990-06-18,False,False,False,,1990,6,18
169,1990-06-19,False,False,False,,1990,6,19
170,1990-06-20,False,False,False,,1990,6,20
171,1990-06-21,False,False,False,,1990,6,21
172,1990-06-22,False,False,False,,1990,6,22
173,1990-06-23,False,False,False,,1990,6,23
174,1990-06-24,False,False,False,,1990,6,24
175,1990-06-25,False,False,False,,1990,6,25
176,1990-06-26,False,False,False,,1990,6,26
177,1990-06-27,False,False,False,,1990,6,27
178,1990-06-28,False,False,False,,1990,6,28
179,1990-06-29,False,False,False,,1990,6,29
180,1990-06-30,False,False,False,,1990,6,30
181,1990-07-01,False,False,False,,1990,7,1
182,1990-07-02,False,False,False,,1990,7,2
183,1990-07-03,False,False,False,,1990,7,3
184,1990-07-04,False,False,False,,1990,7,4
185,1990-07-05,False,False,False,,1990,7,5
186,1990-07-06,False,False,False,,1990,7,6
187,1990-07-07,False,False,False,,1990,7,7
188,1990-07-08,False,False,False,,1990,7,8
189,1990-07-09,False,False,False,,1990,7,9
190,1990-07-10,False,False,False,,1990,7,10
191,1990-07-11,False,False,False,,1990,7,11
192,1990-07-12,False,False,False,,1990,7,12
193,1990-07-13,False,False,False,,1990,7,13
194,1990-07-14,False,False,False,,1990,7,14
195,1990-07-15,False,False,False,,1990,7,15
196,1990-07-16,False,False,False,,1990,7,16
197,1990-07-17,False,False,False,,1990,7,17
198,1990-07-18,False,False,False,,1990,7,18
