date,jour,service,CA_TTC,CA_HT,TVA,temp,feels_like,temp_min,temp_max,wind_speed,clouds_all,weather_main,weather_description,match_edf,roland_garros,fashion_week,Match Happening,Match Happening-CL,vacances_paris
2019-09-01,Dimanche,midi,3548.0,3191.82,356.18,294.08,293.35,292.94,295.87,2.68,0.0,Clear,sky is clear,0.0,0.0,0.0,,,1
2019-09-01,Dimanche,soir,4577.1,4035.3,541.8,293.37,292.6,291.95,294.4,4.02,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-02,Lundi,midi,2089.0,1888.79,200.21,294.26,293.47,292.71,295.87,2.6,0.0,Clear,sky is clear,0.0,0.0,0.0,0.0,,0
2019-09-02,Lundi,soir,5726.5,5056.44,670.06,294.0,293.08,292.25,295.36,0.45,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-03,Mardi,midi,1745.25,1567.27,177.98,295.07,294.57,293.18,296.42,0.45,40.0,Clouds,scattered clouds,0.0,0.0,0.0,,,0
2019-09-03,Mardi,soir,6983.75,6181.34,802.41,294.45,293.94,291.78,295.96,0.45,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-04,Mercredi,midi,2704.1,2434.71,269.39,297.19,296.75,295.4,298.87,0.89,0.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-09-04,Mercredi,soir,7489.11,6612.94,876.17,292.0,291.17,290.28,293.38,2.24,20.0,Clouds,few clouds,0.0,0.0,0.0,,,
2019-09-05,Jeudi,midi,4025.0,3626.14,398.86,291.1,290.31,289.46,292.34,0.89,75.0,Clouds,broken clouds,0.0,0.0,0.0,,,0
2019-09-05,Jeudi,soir,6570.5,5812.76,757.74,289.99,288.96,288.4,290.87,2.68,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-06,Vendredi,midi,3431.0,3090.0,341.0,292.45,291.53,291.05,294.59,2.24,0.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-09-06,Vendredi,soir,11621.42,10303.54,1317.88,291.87,291.16,288.02,293.38,1.79,90.0,Rain,light rain,0.0,0.0,0.0,,,
2019-09-07,Samedi,midi,4548.25,4083.71,464.54,291.91,291.12,290.25,292.96,2.68,40.0,Clouds,scattered clouds,0.0,0.0,0.0,,,0
2019-09-07,Samedi,soir,9125.44,8062.32,1063.12,289.41,288.61,287.14,290.38,5.81,20.0,Clouds,few clouds,1.0,0.0,0.0,,,
2019-09-08,Dimanche,midi,5109.5,4584.32,525.18,290.37,289.51,289.38,292.4,3.13,75.0,Clouds,broken clouds,0.0,0.0,0.0,,,0
2019-09-08,Dimanche,soir,6472.5,5749.62,722.88,288.99,287.99,287.4,289.81,4.47,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-09,Lundi,midi,2997.0,2697.12,299.88,291.95,291.09,290.47,293.48,1.34,75.0,Clouds,broken clouds,0.0,0.0,0.0,,,0
2019-09-09,Lundi,soir,6103.5,5404.85,698.65,290.6,289.68,289.48,291.58,1.5,0.0,Rain,light rain,0.0,0.0,0.0,,,
2019-09-10,Mardi,midi,2629.75,2368.71,261.04,294.39,293.54,292.94,295.87,2.1,0.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-09-10,Mardi,soir,8411.5,7417.35,994.15,293.28,292.37,290.78,294.76,2.6,0.0,Clear,sky is clear,1.0,0.0,0.0,,,
2019-09-11,Mercredi,midi,4526.0,4067.05,458.95,295.13,294.61,294.25,296.38,4.02,0.0,Clear,sky is clear,0.0,0.0,0.0,0.0,,0
2019-09-11,Mercredi,soir,7403.0,6548.71,854.29,295.07,294.62,293.94,295.96,2.6,20.0,Clouds,few clouds,0.0,0.0,0.0,,,
2019-09-12,Jeudi,midi,4415.0,3966.89,448.11,295.74,295.78,294.17,297.47,1.5,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,0
2019-09-12,Jeudi,soir,8665.25,7685.53,979.72,295.86,295.91,293.81,296.98,1.0,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,
2019-09-13,Vendredi,midi,4132.5,3707.65,424.85,294.29,294.29,293.14,296.36,1.5,90.0,Clouds,overcast clouds,0.0,0.0,0.0,,,0
2019-09-13,Vendredi,soir,8636.0,7637.88,998.12,294.44,294.35,293.08,295.38,2.6,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-14,Samedi,midi,5021.0,4510.68,510.32,296.98,296.88,295.92,298.25,0.45,0.0,Clear,sky is clear,0.0,0.0,0.0,0.0,,0
2019-09-14,Samedi,soir,10300.0,9129.17,1170.83,296.28,295.95,293.81,297.38,2.6,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-15,Dimanche,midi,6253.0,5622.73,630.27,298.74,298.4,297.58,300.4,2.6,0.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-09-15,Dimanche,soir,6705.0,5956.36,748.64,297.15,296.7,294.73,298.65,2.1,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-16,Lundi,midi,2805.5,2535.38,270.12,298.2,297.52,296.6,299.69,0.89,0.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-09-16,Lundi,soir,6933.0,6161.52,771.48,296.16,296.08,294.08,297.53,0.89,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-17,Mardi,midi,3283.75,2960.38,323.37,294.04,293.67,293.16,295.47,0.89,75.0,Clouds,broken clouds,0.0,0.0,0.0,,,0
2019-09-17,Mardi,soir,7876.5,6965.23,911.27,292.49,291.79,291.38,293.35,0.45,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-18,Mercredi,midi,4077.5,3663.41,414.09,291.23,290.22,290.36,292.47,2.24,0.0,Clear,sky is clear,0.0,0.0,0.0,0.0,0.0,0
2019-09-18,Mercredi,soir,8248.5,7314.17,934.33,290.21,289.12,288.83,291.13,3.58,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-19,Jeudi,midi,3852.0,3478.71,373.29,291.58,290.65,290.92,292.53,1.34,0.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-09-19,Jeudi,soir,7602.5,6736.14,866.36,290.42,289.22,289.08,291.38,4.6,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-20,Vendredi,midi,4195.0,3775.83,419.17,294.46,293.33,293.37,295.47,0.45,0.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-09-20,Vendredi,soir,10913.0,9656.67,1256.33,293.68,292.42,291.28,295.02,3.1,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-21,Samedi,midi,5936.0,5328.11,607.89,298.42,298.15,297.07,299.92,2.6,0.0,Clear,sky is clear,0.0,0.0,0.0,,,0
2019-09-21,Samedi,soir,10901.5,9686.36,1215.14,297.94,297.7,295.18,299.58,2.1,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
2019-09-22,Dimanche,midi,6290.5,5653.41,637.09,290.14,290.24,288.37,292.14,0.89,75.0,Rain,moderate rain,0.0,0.0,0.0,0.0,,0
2019-09-22,Dimanche,soir,4881.5,4343.94,537.56,289.87,290.0,288.62,290.58,0.45,90.0,Rain,light rain,0.0,0.0,0.0,,,
2019-09-23,Lundi,midi,4191.5,3766.74,424.76,293.64,293.15,292.58,295.25,3.58,40.0,Clouds,scattered clouds,0.0,0.0,1.0,,,0
2019-09-23,Lundi,soir,7611.5,6744.77,866.73,292.46,292.09,290.8,293.58,1.79,75.0,Clouds,broken clouds,0.0,0.0,1.0,,,
2019-09-24,Mardi,midi,3364.25,3037.58,326.67,289.27,289.42,288.37,289.87,3.1,90.0,Rain,light rain,0.0,0.0,1.0,,,0
2019-09-24,Mardi,soir,8167.5,7226.82,940.68,289.55,289.6,287.71,290.56,0.89,90.0,Rain,light rain,0.0,0.0,1.0,,,
2019-09-25,Mercredi,midi,4355.0,3929.77,425.23,290.59,290.53,289.48,291.87,3.13,90.0,Clouds,overcast clouds,0.0,0.0,1.0,0.0,,0
2019-09-25,Mercredi,soir,6986.25,6205.68,780.57,289.99,289.84,288.37,291.12,2.24,90.0,Rain,light rain,0.0,0.0,1.0,,,
2019-09-26,Jeudi,midi,4952.5,4452.05,500.45,293.12,293.08,291.95,293.71,4.47,90.0,Clouds,overcast clouds,0.0,0.0,1.0,,,0
2019-09-26,Jeudi,soir,9443.0,8350.3,1092.7,292.76,292.63,291.39,293.58,2.68,90.0,Clouds,overcast clouds,0.0,0.0,1.0,,,
2019-09-27,Vendredi,midi,3979.0,3561.67,417.33,292.3,292.05,290.6,293.45,2.68,75.0,Clouds,broken clouds,0.0,0.0,1.0,,,0
2019-09-27,Vendredi,soir,9512.5,8382.12,1130.38,289.84,289.68,288.69,290.58,0.89,0.0,Clear,sky is clear,0.0,0.0,1.0,,,
2019-09-28,Samedi,midi,5587.5,5019.32,568.18,291.43,290.96,290.47,291.96,4.02,90.0,Clouds,overcast clouds,0.0,0.0,1.0,0.0,,0
2019-09-28,Samedi,soir,9096.5,8063.33,1033.17,290.79,290.33,289.38,291.58,0.89,75.0,Clouds,broken clouds,0.0,0.0,1.0,,,
2019-09-29,Dimanche,midi,6030.0,5441.59,588.41,290.6,290.72,289.76,292.24,2.68,90.0,Drizzle,drizzle,0.0,0.0,1.0,,,0
2019-09-29,Dimanche,soir,6109.25,5422.95,686.3,290.07,290.06,288.06,292.4,1.34,90.0,Mist,mist,0.0,0.0,1.0,,,
2019-09-29,Dimanche,soir,6109.25,5422.95,686.3,290.07,290.06,288.06,292.4,1.34,90.0,Rain,moderate rain,0.0,0.0,1.0,,,
2019-09-30,Lundi,midi,3591.0,3239.85,351.15,291.2,290.84,289.94,292.42,1.34,75.0,Clouds,broken clouds,0.0,0.0,1.0,,,0
2019-09-30,Lundi,soir,5835.5,5176.21,659.29,289.77,289.37,288.37,290.75,2.6,0.0,Clear,sky is clear,0.0,0.0,1.0,,,
2019-10-01,Mardi,midi,3903.5,3502.27,401.23,293.12,293.08,291.03,293.97,2.68,90.0,Rain,light rain,0.0,0.0,1.0,,,0
2019-10-01,Mardi,soir,6553.5,5828.11,725.39,289.3,289.22,287.47,289.94,2.68,0.0,Rain,light rain,0.0,0.0,1.0,,,
2019-10-02,Mercredi,midi,2738.5,2473.94,264.56,288.8,288.04,287.4,290.38,2.68,75.0,Clouds,broken clouds,0.0,0.0,0.0,,,0
2019-10-02,Mercredi,soir,7371.0,6546.02,824.98,284.73,283.41,282.4,285.92,3.58,0.0,Clear,sky is clear,0.0,0.0,0.0,,,
