date,service,Match Happening-L1
2022-03-04,diner,1
2022-10-04,midi,0
2022-10-04,diner,1
2022-04-17,midi,0
2022-04-17,diner,1
2022-04-20,midi,0
2022-04-20,diner,1
2022-04-24,midi,0
2022-04-24,diner,1
2022-01-05,midi,0
2022-01-05,diner,1
2022-08-05,midi,0
2022-08-05,diner,1
2022-05-14,midi,0
2022-05-14,diner,1
2022-05-21,midi,0
2022-05-21,diner,1
