date,service,match_edf,match_happening,match_happening_cl,roland_garros,fashion_week
2019-01-01,midi,0,0.0,0.0,0,0
2019-01-01,soir,0,0.0,0.0,0,0
2019-01-02,midi,0,0.0,0.0,0,0
2019-01-02,soir,0,0.0,0.0,0,0
2019-01-03,midi,0,0.0,0.0,0,0
2019-01-03,soir,0,0.0,0.0,0,0
2019-01-04,midi,0,0.0,0.0,0,0
2019-01-04,soir,0,0.0,0.0,0,0
2019-01-05,midi,0,0.0,0.0,0,0
2019-01-05,soir,0,0.0,0.0,0,0
2019-01-06,midi,0,0.0,0.0,0,0
2019-01-06,soir,0,0.0,0.0,0,0
2019-01-07,midi,0,0.0,0.0,0,0
2019-01-07,soir,0,0.0,0.0,0,0
2019-01-08,midi,0,0.0,0.0,0,0
2019-01-08,soir,0,0.0,0.0,0,0
2019-01-09,midi,0,0.0,0.0,0,0
2019-01-09,soir,0,0.0,0.0,0,0
2019-01-10,midi,0,0.0,0.0,0,0
2019-01-10,soir,0,0.0,0.0,0,0
2019-01-11,midi,0,0.0,0.0,0,0
2019-01-11,soir,0,0.0,0.0,0,0
2019-01-12,midi,0,0.0,0.0,0,0
2019-01-12,soir,0,0.0,0.0,0,0
2019-01-13,midi,0,0.0,0.0,0,0
2019-01-13,soir,0,0.0,0.0,0,0
2019-01-14,midi,0,0.0,0.0,0,0
2019-01-14,soir,0,0.0,0.0,0,0
2019-01-15,midi,0,0.0,0.0,0,1
2019-01-15,soir,0,0.0,0.0,0,1
2019-01-16,midi,0,0.0,0.0,0,1
2019-01-16,soir,0,0.0,0.0,0,1
2019-01-17,midi,0,0.0,0.0,0,1
2019-01-17,soir,0,0.0,0.0,0,1
2019-01-18,midi,0,0.0,0.0,0,1
2019-01-18,soir,0,0.0,0.0,0,1
2019-01-19,midi,0,0.0,0.0,0,1
2019-01-19,soir,0,0.0,0.0,0,1
2019-01-20,midi,0,0.0,0.0,0,1
2019-01-20,soir,0,0.0,0.0,0,1
2019-01-21,midi,0,0.0,0.0,0,0
2019-01-21,soir,0,0.0,0.0,0,0
2019-01-22,midi,0,0.0,0.0,0,0
2019-01-22,soir,0,0.0,0.0,0,0
2019-01-23,midi,0,0.0,0.0,0,0
2019-01-23,soir,0,0.0,0.0,0,0
2019-01-24,midi,0,0.0,0.0,0,0
2019-01-24,soir,0,0.0,0.0,0,0
2019-01-25,midi,0,0.0,0.0,0,0
2019-01-25,soir,0,0.0,0.0,0,0
2019-01-26,midi,0,0.0,0.0,0,0
2019-01-26,soir,0,0.0,0.0,0,0
2019-01-27,midi,0,0.0,0.0,0,0
2019-01-27,soir,0,0.0,0.0,0,0
2019-01-28,midi,0,0.0,0.0,0,0
2019-01-28,soir,0,0.0,0.0,0,0
2019-01-29,midi,0,0.0,0.0,0,0
2019-01-29,soir,0,0.0,0.0,0,0
2019-01-30,midi,0,0.0,0.0,0,0
2019-01-30,soir,0,0.0,0.0,0,0
2019-01-31,midi,0,0.0,0.0,0,0
2019-01-31,soir,0,0.0,0.0,0,0
2019-02-01,midi,0,0.0,0.0,0,0
2019-02-01,soir,0,0.0,0.0,0,0
2019-02-02,midi,0,0.0,0.0,0,0
2019-02-02,soir,0,0.0,0.0,0,0
2019-02-03,midi,0,0.0,0.0,0,0
2019-02-03,soir,0,0.0,0.0,0,0
2019-02-04,midi,0,0.0,0.0,0,0
2019-02-04,soir,0,0.0,0.0,0,0
2019-02-05,midi,0,0.0,0.0,0,0
2019-02-05,soir,0,0.0,0.0,0,0
2019-02-06,midi,0,0.0,0.0,0,0
2019-02-06,soir,0,0.0,0.0,0,0
2019-02-07,midi,0,0.0,0.0,0,0
2019-02-07,soir,0,0.0,0.0,0,0
2019-02-08,midi,0,0.0,0.0,0,0
2019-02-08,soir,0,0.0,0.0,0,0
2019-02-09,midi,0,0.0,0.0,0,0
2019-02-09,soir,0,0.0,0.0,0,0
